step,rewards,qf_loss,actor_loss,observations,action
33531,[-5408.7393],5.810960118511504e+20,-36594286592.0,[0.         3.14159265 0.         0.        ],[100.]
34831,[-5408.7393],5.972131282801142e+20,-37868613632.0,[0.         3.14159265 0.         0.        ],[100.]
36131,[-5408.747],5.387324093750806e+20,-39806316544.0,[0.         3.14159265 0.         0.        ],[100.]
37431,[-5408.762],6.910583632590746e+20,-41743343616.0,[0.         3.14159265 0.         0.        ],[100.]
38731,[-5408.7393],5.961220609016395e+20,-44599095296.0,[0.         3.14159265 0.         0.        ],[100.]
40030,[-5409.044],6.606525214811153e+20,-46476312576.0,[0.         3.14159265 0.         0.        ],[100.]
41330,[-5408.2026],7.686672067876901e+20,-47556722688.0,[0.         3.14159265 0.         0.        ],[100.]
42630,[-5408.7393],8.08282839434878e+20,-50186760192.0,[0.         3.14159265 0.         0.        ],[100.]
43930,[-5408.7407],8.462991312643959e+20,-52441677824.0,[0.         3.14159265 0.         0.        ],[100.]
45230,[-5408.7407],8.710264264934503e+20,-54630334464.0,[0.         3.14159265 0.         0.        ],[100.]
46530,[-5408.745],1.2068699838056298e+21,-56998281216.0,[0.         3.14159265 0.         0.        ],[100.]
47830,[-5408.7397],9.644565562505067e+20,-59236995072.0,[0.         3.14159265 0.         0.        ],[100.]
49130,[-5408.7324],1.3035069579723507e+21,-62076809216.0,[0.         3.14159265 0.         0.        ],[100.]
50523,[-5408.7466],2.41386916462557e+21,-65393729536.0,[0.         3.14159265 0.         0.        ],[100.]
51820,[-5408.7974],2.8068788823328e+21,-68171661312.0,[0.         3.14159265 0.         0.        ],[100.]
53120,[-5408.742],2.676894863987726e+21,-70777815040.0,[0.         3.14159265 0.         0.        ],[100.]
54420,[-5408.741],2.942989766495935e+21,-74168680448.0,[0.         3.14159265 0.         0.        ],[100.]
51086,[-3418.3728],280885696.0,32216.408203125,[0.         3.14159265 0.         0.        ],[9.884028]
51794,[-3585.8708],664962432.0,59452.9296875,[0.         3.14159265 0.         0.        ],[-7.568533]
52494,[-4063.6008],650190528.0,88762.75,[0.         3.14159265 0.         0.        ],[16.715826]
53194,[-3519.7942],1718151296.0,113523.8125,[0.         3.14159265 0.         0.        ],[17.936684]
53895,[-3554.3188],2332778496.0,124762.0,[0.         3.14159265 0.         0.        ],[12.397652]
54602,[-3537.8591],2695510528.0,127161.0703125,[0.         3.14159265 0.         0.        ],[16.391897]
55351,[-3509.2039],3724215552.0,178140.9375,[0.         3.14159265 0.         0.        ],[6.009561]
56142,[-3059.9111],6879468544.0,179541.875,[0.         3.14159265 0.         0.        ],[10.513795]
56982,[-2914.911],8488975872.0,207525.03125,[0.         3.14159265 0.         0.        ],[13.744621]
